,Términos,enfado,miedo,alegría,tristeza
612,indeseable,1.0,1.0,0.0,1.0
613,indigente,0.0,1.0,0.0,1.0
614,indignación,1.0,0.0,0.0,0.0
615,indispuesto,0.0,0.0,0.0,1.0
616,inestabilidad,0.0,1.0,0.0,0.0
617,inexcusable,1.0,0.0,0.0,1.0
618,infanticidio,1.0,1.0,0.0,1.0
619,infarto,0.0,1.0,0.0,0.0
620,infección,0.0,1.0,0.0,0.0
621,infeccioso,0.0,1.0,0.0,1.0
622,infeliz,1.0,0.0,0.0,1.0
623,infernal,1.0,1.0,0.0,1.0
624,infestación,0.0,1.0,0.0,0.0
625,infidelidad,1.0,1.0,0.0,1.0
626,infiel,1.0,1.0,0.0,0.0
627,inhumanidad,0.0,0.0,0.0,1.0
628,inhumano,1.0,1.0,0.0,1.0
629,injustificable,1.0,1.0,0.0,0.0
630,injusto,1.0,0.0,0.0,0.0
631,inmersión,0.0,1.0,0.0,0.0
632,inmoral,1.0,1.0,0.0,1.0
633,insidioso,1.0,1.0,0.0,0.0
634,insignificante,1.0,0.0,0.0,1.0
635,inspirado,0.0,0.0,1.0,0.0
636,inspirar,0.0,0.0,1.0,0.0
637,insultante,1.0,1.0,0.0,1.0
638,insulto,1.0,0.0,0.0,1.0
639,insuperable,0.0,1.0,0.0,1.0
640,insurrección,1.0,0.0,0.0,0.0
641,interrogatorio,0.0,1.0,0.0,0.0
642,íntimamente,0.0,1.0,1.0,0.0
643,intimidación,1.0,1.0,0.0,0.0
644,intimidar,0.0,1.0,0.0,0.0
645,íntimo,0.0,0.0,1.0,0.0
646,intolerable,1.0,0.0,0.0,0.0
647,intolerancia,1.0,1.0,0.0,0.0
648,intolerante,1.0,1.0,0.0,1.0
649,intratable,1.0,0.0,0.0,0.0
650,inútil,0.0,0.0,0.0,1.0
651,invasión,1.0,1.0,0.0,0.0
652,invasor,1.0,1.0,0.0,1.0
653,inyección,0.0,1.0,0.0,0.0
654,irreconciliable,1.0,1.0,0.0,1.0
655,irreparable,0.0,1.0,0.0,1.0
656,irrespetuoso,1.0,1.0,0.0,1.0
657,irritabilidad,1.0,0.0,0.0,0.0
658,irritable,1.0,0.0,0.0,0.0
659,irritante,1.0,0.0,0.0,0.0
660,jovial,0.0,0.0,1.0,0.0
661,joya,0.0,0.0,1.0,0.0
662,jubiloso,0.0,0.0,1.0,0.0
663,juguetón,1.0,0.0,1.0,0.0
664,lamentablemente,0.0,0.0,0.0,1.0
665,lamentando,0.0,0.0,0.0,1.0
666,lamentándose,0.0,0.0,0.0,1.0
667,lamentar,0.0,0.0,0.0,1.0
668,lamento,0.0,1.0,0.0,1.0
669,languideciendo,0.0,1.0,0.0,1.0
670,lástima,0.0,0.0,0.0,1.0
671,lastimando,1.0,1.0,0.0,1.0
672,latigazo,1.0,1.0,0.0,0.0
673,látigo,1.0,0.0,0.0,0.0
674,laureles,0.0,0.0,1.0,0.0
675,lava,1.0,1.0,0.0,0.0
676,lesión,1.0,1.0,0.0,1.0
677,lesionar,1.0,1.0,0.0,1.0
678,letal,0.0,1.0,0.0,1.0
679,leucemia,1.0,1.0,0.0,1.0
680,levantamiento,1.0,1.0,0.0,0.0
681,libertinaje,0.0,1.0,0.0,0.0
682,libremente,0.0,0.0,1.0,0.0
683,ligar,0.0,0.0,1.0,0.0
684,linchar,1.0,1.0,0.0,1.0
685,lívido,1.0,0.0,0.0,0.0
686,llanto,0.0,0.0,0.0,1.0
687,llorar,0.0,0.0,0.0,1.0
688,loable,0.0,0.0,1.0,0.0
689,frenético,1.0,1.0,0.0,0.0
690,demente,1.0,1.0,0.0,0.0
691,loca,1.0,1.0,0.0,1.0
692,logrado,0.0,0.0,1.0,0.0
693,lograr,0.0,0.0,1.0,0.0
694,lujo,0.0,0.0,1.0,0.0
695,luto,0.0,0.0,0.0,1.0
696,maestría,1.0,0.0,1.0,0.0
697,mafia,0.0,1.0,0.0,0.0
698,mágico,0.0,0.0,1.0,0.0
699,magnificencia,0.0,0.0,1.0,0.0
700,majestuoso,0.0,0.0,1.0,0.0
701,malaria,0.0,1.0,0.0,1.0
702,maldad,1.0,1.0,0.0,0.0
703,maldiciendo,1.0,0.0,0.0,0.0
704,maldición,1.0,1.0,0.0,1.0
705,malestar,0.0,0.0,0.0,1.0
706,malicia,1.0,1.0,0.0,0.0
707,malicioso,1.0,1.0,0.0,1.0
708,malignidad,0.0,1.0,0.0,1.0
709,malvado,0.0,1.0,0.0,0.0
710,manifestación,0.0,1.0,0.0,0.0
711,manipulación,1.0,1.0,0.0,0.0
712,marchitar,0.0,0.0,0.0,1.0
713,mártir,0.0,1.0,0.0,1.0
714,martirio,0.0,1.0,0.0,1.0
715,apalear,1.0,1.0,0.0,0.0
716,masacre,1.0,1.0,0.0,1.0
717,masoquismo,1.0,1.0,0.0,0.0
718,matadero,1.0,1.0,0.0,1.0
719,matar,1.0,1.0,0.0,1.0
720,maternidad,0.0,0.0,1.0,0.0
721,mausoleo,0.0,0.0,0.0,1.0
722,melancolía,0.0,0.0,0.0,1.0
723,memorable,0.0,0.0,1.0,0.0
724,menospreciar,1.0,0.0,0.0,1.0
725,mercenario,0.0,1.0,0.0,0.0
726,meritorio,0.0,0.0,1.0,0.0
727,metralla,0.0,1.0,0.0,0.0
728,pavor,0.0,1.0,0.0,0.0
729,trepidación,0.0,1.0,0.0,0.0
730,miedo,0.0,1.0,0.0,0.0
731,mierdón,1.0,0.0,0.0,0.0
732,milagro,0.0,0.0,1.0,0.0
733,miserable,1.0,0.0,0.0,1.0
734,miseria,1.0,1.0,0.0,1.0
735,misil,0.0,1.0,0.0,0.0
736,monstruosidad,1.0,1.0,0.0,0.0
737,mórbido,0.0,0.0,0.0,1.0
738,morbosidad,1.0,1.0,0.0,1.0
739,morgue,0.0,1.0,0.0,1.0
740,morir,0.0,1.0,0.0,1.0
741,mortal,1.0,1.0,0.0,1.0
742,mortificación,0.0,1.0,0.0,1.0
743,mortuorio,0.0,1.0,0.0,1.0
744,motín,1.0,1.0,0.0,0.0
745,muerte,1.0,1.0,0.0,1.0
746,multitud,1.0,1.0,0.0,0.0
747,música,0.0,0.0,1.0,1.0
748,mutilación,1.0,1.0,0.0,1.0
749,mutilar,1.0,1.0,0.0,1.0
750,nada,0.0,0.0,0.0,1.0
751,naufragio,0.0,1.0,0.0,1.0
752,negativo,0.0,0.0,0.0,1.0
753,nerviosismo,0.0,1.0,0.0,0.0
754,neumonía,0.0,1.0,0.0,0.0
755,neuralgia,0.0,1.0,0.0,1.0
756,neurosis,0.0,1.0,0.0,1.0
757,neurótico,0.0,1.0,0.0,0.0
758,nietos,0.0,0.0,1.0,0.0
759,nocivo,0.0,1.0,0.0,0.0
760,nostálgico,0.0,0.0,0.0,1.0
761,nupcial,0.0,0.0,1.0,0.0
762,obliteración,0.0,1.0,0.0,1.0
763,obliterar,1.0,1.0,0.0,1.0
764,obscenidad,1.0,0.0,0.0,0.0
765,obsesionado,0.0,1.0,0.0,1.0
766,obstructivo,1.0,0.0,0.0,0.0
767,obstruir,1.0,1.0,0.0,0.0
768,ocio,0.0,0.0,1.0,0.0
769,oculto,0.0,1.0,0.0,0.0
770,odiando,1.0,0.0,0.0,0.0
771,odio,1.0,1.0,0.0,1.0
772,ofender,1.0,0.0,0.0,0.0
773,ofendido,1.0,0.0,0.0,1.0
774,ofensiva,1.0,0.0,0.0,0.0
775,ogro,0.0,1.0,0.0,0.0
776,olvidado,0.0,1.0,0.0,1.0
777,olvido,1.0,1.0,0.0,0.0
778,ominoso,0.0,1.0,0.0,0.0
779,opresión,1.0,1.0,0.0,1.0
780,opresivo,1.0,1.0,0.0,1.0
781,opresor,1.0,1.0,0.0,1.0
782,oprimir,1.0,1.0,0.0,1.0
783,optimismo,0.0,0.0,1.0,0.0
784,orgasmo,0.0,0.0,1.0,0.0
785,orgullo,0.0,0.0,1.0,0.0
786,orgulloso,0.0,0.0,1.0,0.0
787,oscurecido,0.0,1.0,0.0,1.0
788,oscuridad,1.0,1.0,0.0,1.0
789,oscuro,0.0,0.0,0.0,1.0
790,osuno,1.0,1.0,0.0,0.0
791,pacífico,0.0,0.0,1.0,0.0
792,pandemia,0.0,1.0,0.0,1.0
793,pandilla,1.0,1.0,0.0,0.0
794,pánico,0.0,1.0,0.0,0.0
795,paranoia,0.0,1.0,0.0,0.0
796,marginado,0.0,1.0,0.0,1.0
797,parodia,0.0,1.0,0.0,1.0
798,pasión,0.0,0.0,1.0,0.0
799,patada,1.0,0.0,0.0,0.0
800,pateando,1.0,0.0,0.0,0.0
801,patético,0.0,0.0,0.0,1.0
802,paz,0.0,0.0,1.0,0.0
803,pecador,1.0,1.0,0.0,1.0
804,pecaminoso,1.0,1.0,0.0,1.0
805,pelearse,1.0,1.0,0.0,0.0
806,pelea,1.0,0.0,0.0,0.0
807,penetración,1.0,1.0,0.0,0.0
808,penitencia,0.0,1.0,0.0,1.0
809,dolorosamente,0.0,0.0,0.0,1.0
810,perecer,0.0,1.0,0.0,1.0
811,pereciendo,0.0,1.0,0.0,1.0
812,pereció,0.0,0.0,0.0,1.0
813,perfección,0.0,0.0,1.0,0.0
814,perfecto,0.0,0.0,1.0,0.0
815,pernicioso,1.0,1.0,0.0,1.0
816,persecución,1.0,1.0,0.0,1.0
817,perpetrador,1.0,1.0,0.0,1.0
818,perseguir,1.0,1.0,0.0,0.0
819,perturbación,0.0,1.0,0.0,0.0
820,perturbado,1.0,0.0,0.0,1.0
821,perversión,1.0,0.0,0.0,1.0
822,pesadilla,0.0,1.0,0.0,0.0
823,pesimismo,1.0,1.0,0.0,1.0
824,pesimista,0.0,1.0,0.0,1.0
825,pésimo,0.0,1.0,0.0,0.0
826,pestilencia,0.0,1.0,0.0,0.0
827,picadura,1.0,1.0,0.0,0.0
828,pillaje,1.0,1.0,0.0,0.0
829,pistola,1.0,1.0,0.0,0.0
830,playa,0.0,0.0,1.0,0.0
831,plomada,0.0,1.0,0.0,0.0
832,pobre,0.0,0.0,0.0,1.0
833,pobreza,1.0,1.0,0.0,1.0
834,polio,0.0,1.0,0.0,1.0
835,pólvora,0.0,1.0,0.0,0.0
836,poseído,1.0,1.0,0.0,0.0
837,póstumo,0.0,0.0,0.0,1.0
838,precario,0.0,1.0,0.0,1.0
839,precioso,0.0,0.0,1.0,0.0
840,premeditado,0.0,1.0,0.0,0.0
841,premio,0.0,0.0,1.0,0.0
842,preocupación,0.0,0.0,1.0,0.0
843,preocupante,0.0,1.0,0.0,1.0
844,presa,0.0,1.0,0.0,0.0
845,presagio,0.0,1.0,0.0,0.0
846,presentimiento,0.0,1.0,0.0,0.0
847,prima,0.0,0.0,1.0,0.0
848,primogénito,0.0,0.0,1.0,0.0
849,principesco,0.0,0.0,1.0,0.0
850,prisionero,1.0,1.0,0.0,1.0
851,profanación,1.0,1.0,0.0,1.0
852,profano,1.0,0.0,0.0,0.0
853,prohibido,1.0,1.0,0.0,0.0
854,prosperar,0.0,0.0,1.0,0.0
855,provocación,1.0,0.0,0.0,0.0
856,provocador,1.0,0.0,0.0,0.0
857,proyectil,0.0,1.0,0.0,0.0
858,proyectiles,0.0,1.0,0.0,0.0
859,psicosis,1.0,1.0,0.0,1.0
860,pulla,1.0,1.0,0.0,1.0
861,punitivo,1.0,1.0,0.0,1.0
862,puñetazo,1.0,1.0,0.0,1.0
863,purga,0.0,1.0,0.0,0.0
864,purgatorio,0.0,1.0,0.0,0.0
865,putrefacción,0.0,1.0,0.0,1.0
866,querida,0.0,0.0,1.0,0.0
867,rabia,1.0,0.0,0.0,0.0
868,rabioso,1.0,1.0,0.0,1.0
869,radiación,0.0,1.0,0.0,0.0
870,radiante,0.0,0.0,1.0,0.0
871,radioactivo,0.0,1.0,0.0,0.0
872,rapaces,0.0,1.0,0.0,0.0
873,realizar,0.0,0.0,1.0,0.0
874,reavivar,0.0,1.0,1.0,0.0
875,rebelde,1.0,1.0,0.0,0.0
876,rebelión,1.0,1.0,0.0,0.0
877,recaída,0.0,1.0,0.0,1.0
878,recalcitrante,1.0,0.0,0.0,0.0
879,rechaza,1.0,1.0,0.0,1.0
880,rechazado,0.0,0.0,0.0,1.0
881,rechazar,1.0,1.0,0.0,1.0
882,rechazo,1.0,1.0,0.0,1.0
883,recomendable,0.0,0.0,1.0,0.0
884,recreación,0.0,0.0,1.0,0.0
885,regalo,0.0,0.0,1.0,0.0
886,regocijo,0.0,0.0,1.0,0.0
887,rehén,1.0,1.0,0.0,0.0
888,rehuir,1.0,0.0,0.0,1.0
889,rejilla,1.0,0.0,0.0,0.0
890,relámpago,1.0,1.0,0.0,0.0
891,remordimiento,0.0,0.0,0.0,1.0
892,rendición,0.0,1.0,0.0,1.0
893,rendirse,0.0,0.0,0.0,1.0
894,renegado,1.0,0.0,0.0,0.0
895,represalia,1.0,1.0,0.0,1.0
896,represión,0.0,1.0,0.0,0.0
897,reprimenda,1.0,0.0,0.0,0.0
898,repudio,1.0,0.0,0.0,0.0
899,repugnancia,1.0,1.0,0.0,0.0
900,réquiem,0.0,0.0,0.0,1.0
901,rescate,1.0,1.0,0.0,0.0
902,resentido,1.0,0.0,0.0,0.0
903,resignación,0.0,0.0,0.0,1.0
904,resistencia,1.0,0.0,0.0,0.0
905,respeto,0.0,0.0,1.0,0.0
906,resplandeciente,0.0,0.0,1.0,0.0
907,retardar,0.0,1.0,0.0,1.0
908,resplandor,1.0,0.0,1.0,0.0
909,reverenciar,0.0,0.0,1.0,0.0
910,revoltoso,1.0,1.0,0.0,0.0
911,revolución,1.0,1.0,0.0,1.0
912,revólver,1.0,1.0,0.0,1.0
913,revuelta,1.0,0.0,0.0,0.0
914,riesgo,0.0,1.0,0.0,0.0
915,risa,0.0,0.0,1.0,0.0
916,risa nerviosa,0.0,0.0,1.0,0.0
917,reír entredientes,0.0,0.0,1.0,0.0
918,robado,1.0,0.0,0.0,0.0
919,robando,0.0,1.0,0.0,0.0
920,romanticismo,0.0,0.0,1.0,0.0
921,romántico,0.0,0.0,1.0,0.0
922,romper,1.0,1.0,0.0,1.0
923,romance,0.0,1.0,1.0,1.0
924,roto,1.0,1.0,0.0,1.0
925,ruin,1.0,1.0,0.0,0.0
926,ruinoso,1.0,1.0,0.0,1.0
927,sable,1.0,1.0,0.0,0.0
928,saborear,0.0,0.0,1.0,1.0
929,sabotaje,1.0,1.0,0.0,1.0
930,matanza,1.0,1.0,0.0,1.0
931,sacrificio,1.0,1.0,0.0,1.0
932,sacrificios,0.0,1.0,0.0,1.0
933,sacudida,0.0,1.0,0.0,0.0
934,salido,0.0,0.0,0.0,1.0
935,salvaje,1.0,1.0,0.0,0.0
936,salvajismo,1.0,1.0,0.0,0.0
937,samurai,0.0,1.0,0.0,0.0
938,sanguijuelas,0.0,1.0,0.0,0.0
939,sanguinario,1.0,1.0,0.0,0.0
940,santidad,0.0,1.0,1.0,0.0
941,santo,0.0,0.0,1.0,0.0
942,santuario,0.0,0.0,1.0,0.0
943,saquear,1.0,1.0,0.0,1.0
944,sarcoma,0.0,1.0,0.0,1.0
945,sarna,0.0,1.0,0.0,0.0
946,satánico,1.0,0.0,0.0,0.0
947,satisfecho,0.0,0.0,1.0,0.0
948,secuelas,1.0,1.0,0.0,1.0
949,secuestrar,1.0,1.0,0.0,1.0
950,senil,0.0,1.0,0.0,1.0
951,sensacional,0.0,0.0,1.0,0.0
952,ternura,0.0,0.0,1.0,0.0
953,sensibilidad,0.0,0.0,1.0,0.0
954,sensualidad,0.0,0.0,1.0,0.0
955,sentido,0.0,0.0,1.0,1.0
956,septicemia,0.0,1.0,0.0,1.0
957,serenidad,0.0,0.0,1.0,0.0
958,serpiente,0.0,1.0,0.0,0.0
959,desalentador,1.0,1.0,0.0,1.0
960,sexo,0.0,0.0,1.0,0.0
961,síncope,0.0,1.0,0.0,1.0
962,siniestro,1.0,1.0,0.0,0.0
963,sinvergüenza,1.0,1.0,0.0,0.0
964,sirena,0.0,1.0,0.0,0.0
965,apuro,0.0,1.0,0.0,1.0
966,situación,0.0,1.0,0.0,1.0
967,excepcional,0.0,0.0,1.0,0.0
968,sobresaliente,0.0,0.0,1.0,0.0
969,destacar,0.0,0.0,1.0,0.0
970,sobresalir,0.0,0.0,1.0,0.0
971,sofocado,1.0,1.0,0.0,1.0
972,sofocante,0.0,1.0,0.0,1.0
973,soldado,1.0,0.0,0.0,1.0
974,sollozo,0.0,0.0,0.0,1.0
975,sombreado,0.0,1.0,0.0,0.0
976,sonreír,0.0,0.0,1.0,0.0
977,sonriente,0.0,0.0,1.0,0.0
978,sonrisa,0.0,0.0,1.0,0.0
979,sórdido,1.0,1.0,0.0,1.0
980,sorpresa,0.0,1.0,1.0,0.0
981,sospechar,0.0,1.0,0.0,0.0
982,subvertir,0.0,1.0,0.0,1.0
983,subyugación,1.0,1.0,0.0,1.0
984,sudario,0.0,0.0,0.0,1.0
985,sufrimiento,0.0,1.0,0.0,1.0
986,suicida,1.0,1.0,0.0,1.0
987,culebra,1.0,1.0,0.0,1.0
988,superestrella,0.0,0.0,1.0,0.0
989,supersticioso,0.0,1.0,0.0,0.0
990,supresión,1.0,1.0,0.0,0.0
991,suspense,0.0,1.0,0.0,0.0
992,suspenso,0.0,1.0,0.0,0.0
993,susto,0.0,1.0,0.0,0.0
994,tajo,0.0,1.0,0.0,0.0
995,temeroso,0.0,1.0,0.0,1.0
996,tempestad,1.0,1.0,0.0,1.0
997,tensión,1.0,0.0,0.0,0.0
998,tenso,1.0,1.0,0.0,1.0
999,tentador,0.0,0.0,1.0,0.0
1000,terapéutico,0.0,0.0,1.0,0.0
1001,terco,1.0,0.0,0.0,0.0
1002,terminación,0.0,0.0,1.0,1.0
1003,terminal,0.0,1.0,0.0,1.0
1004,terminar,0.0,0.0,0.0,1.0
1005,terriblemente,0.0,0.0,0.0,1.0
1006,terror,0.0,1.0,0.0,0.0
1007,terrorismo,1.0,1.0,0.0,1.0
1008,terrorista,1.0,1.0,0.0,1.0
1009,tesoro,0.0,0.0,1.0,0.0
1010,tifón,0.0,1.0,0.0,0.0
1011,tirador,0.0,1.0,0.0,0.0
1012,tiranía,0.0,1.0,0.0,1.0
1013,tiránico,1.0,1.0,0.0,0.0
1014,tirano,1.0,1.0,0.0,1.0
1015,tonto,0.0,0.0,1.0,0.0
1016,tormenta,1.0,0.0,0.0,0.0
1017,tormento,1.0,1.0,0.0,1.0
1018,tormentoso,0.0,1.0,0.0,0.0
1019,tornado,0.0,1.0,0.0,0.0
1020,torpedo,1.0,0.0,0.0,0.0
1021,torrente,0.0,1.0,0.0,0.0
1022,torticero,1.0,0.0,0.0,0.0
1023,tortuoso,1.0,0.0,0.0,0.0
1024,tortura,1.0,1.0,0.0,1.0
1025,toxina,0.0,1.0,0.0,0.0
1026,tragedia,0.0,1.0,0.0,1.0
1027,traicionar,1.0,0.0,0.0,1.0
1028,traicionero,1.0,1.0,0.0,0.0
1029,traidor,1.0,1.0,0.0,1.0
1030,tranquilidad,0.0,0.0,1.0,0.0
1031,tratar,1.0,1.0,1.0,1.0
1032,traumático,1.0,1.0,0.0,1.0
1033,estruendoso,1.0,1.0,0.0,0.0
1034,tribulación,0.0,1.0,0.0,1.0
1035,triunfante,0.0,0.0,1.0,0.0
1036,triunfo,0.0,0.0,1.0,0.0
1037,fanfarria,0.0,0.0,1.0,0.0
1038,tumulto,1.0,1.0,0.0,0.0
1039,tumultuoso,1.0,1.0,0.0,0.0
1040,turbulencia,1.0,1.0,0.0,0.0
1041,turbulento,0.0,1.0,0.0,0.0
1042,úlcera,1.0,1.0,0.0,1.0
1043,urna,0.0,0.0,0.0,1.0
1044,utópico,0.0,0.0,1.0,0.0
1045,vacaciones,0.0,0.0,1.0,0.0
1046,vampiro,1.0,1.0,0.0,0.0
1047,vegetativo,0.0,0.0,0.0,1.0
1048,vehemente,1.0,1.0,0.0,0.0
1049,vendetta,1.0,1.0,0.0,1.0
1050,veracidad,0.0,0.0,1.0,0.0
1051,vergonzoso,1.0,0.0,0.0,0.0
1052,vértigo,0.0,1.0,0.0,0.0
1053,víbora,0.0,1.0,0.0,0.0
1054,vicioso,1.0,0.0,0.0,0.0
1055,victimizado,1.0,1.0,0.0,1.0
1056,víctor,0.0,0.0,1.0,0.0
1057,victoria,0.0,0.0,1.0,0.0
1058,victorioso,0.0,0.0,1.0,0.0
1059,vigilancia,0.0,1.0,0.0,0.0
1060,vil,0.0,1.0,0.0,1.0
1061,violentamente,1.0,1.0,0.0,1.0
1062,violento,1.0,1.0,0.0,0.0
1063,virtuoso,0.0,0.0,1.0,0.0
1064,virulencia,1.0,1.0,0.0,0.0
1065,visionario,0.0,0.0,1.0,0.0
1066,vitalidad,0.0,0.0,1.0,0.0
1067,viuda,0.0,0.0,0.0,1.0
1068,viudo,0.0,0.0,0.0,1.0
1069,viva,0.0,0.0,1.0,0.0
1070,vivaz,0.0,0.0,1.0,0.0
1071,vívido,0.0,0.0,1.0,0.0
1072,volatilidad,1.0,1.0,0.0,0.0
1073,volcán,0.0,1.0,0.0,0.0
1074,vulgaridad,1.0,0.0,0.0,1.0
1075,vulnerabilidad,0.0,1.0,0.0,1.0
1076,xenofobia,0.0,1.0,0.0,0.0
