,text
83,"Pasar el rato con mis amigos. Es como la competición. Que te enfade de cómo jugar un videojuego es porque eres competitivo en sí. Pues que son una pérdida de tiempo. Me dicen todo lo mismo. Me dicen todo lo mismo. Bueno, hay un juego que sí le gusta a mi padre que es Minecraft, pero dice porque potencia la creatividad. Y ya está. Pero sí, casi todos dicen lo mismo. Que es una pérdida de tiempo y eso no es verdad. Porque si tú juegas a un videojuego no es para que estés triste, sino para que como que te alegres. Y pase el rato. Como para pasar tiempo libre, no es algo que te haga sentirte mal ni nada. Pues te dirían todo lo mismo. Estan todos guapos. Pero así ya si nos paramos a pensar lo que nos pueden potenciar, pues los reflejos, por ejemplo, los potencian muy bien, como el Fortnite. La creatividad, el Minecraft. Luego, el Among Us te enseña a no fiarte ni de tu sombra, por ejemplo. Cada uno te enseña como diversas cosas. Algún cabrillo sí que pillas siempre. Si te matan así o si te encuentras alguno de estos que hace trampas ilegales, sí. Alguna vez sí. Bueno, ahora pierdo menos pero más o menos lo mismo. Perder, perder y siempre sientes lo mismo. Depende del videojuego. Hay unos que sí, otros que no, pero ahora lo que más me gusta a mí es así juegos que te rías con los amigos. Esos son los que me gustan a mí. Pues nada, yo sabía que era muy malo y que tenía que mejorar. Y no sé, un poco de tristeza, lo mismo, pero ya está. Con las ganas de seguir aprendiendo a manejarlo y a seguir avanzando. Bueno, ahora con el paso del tiempo pues ahora te alegra y tal, pero no es lo mismo. Es como que te alegras menos. Bueno, ahora esa felicidad del primer momento pues no es la misma. En plan te lo sigues pasando bien pero ya no llega a ser lo mismo que antes. Alegría y euforia, pero a mas no poder. Por ejemplo en el Fortnite este, cuando ganas tu primera batalla, buah, solo gritas y todo. Pues si te digo la verdad no lo sé, pero yo estaba contento y me lo pasaba bien con mis amigos. Pues mis amigos, como todos, creo. Empieza uno diciendo, mira, esto está muy guapo tal, no sé qué, instálatelo, no sé qué, y pues ya empiezas con tus amigos para pasártelo bien y ya está. El susto que te pega ese de miedo. Que te pega el susto y ahí como que te cagas. Yo era como incapaz de hacerlo, porque me pegué un susto y hostia, a mí eso no me mola. No. Pues, como si dijéramos... No sé. Es como una especie de juego donde básicamente tú eres como el protagonista y tienes que vivir como una aventura. Ya depende de si es modo historia o juegas con tus amigos. Había uno que era incapaz de jugarlo, que era este del Poppy Playtime que ha salido hace poco, porque me cagaba de miedo cada vez que me metía en el túnel. Y no me lo pasaba."
84,"Pues... puede ser online, un juego con el que juegas con más gente y... puedes hablar y... no sé, pasar el rato. No sé, porque no es nada malo. No. Tampoco. Enfado. Motivación. Alegría. Pues no mucha... Da igual. Nada, nada. Nada. Porque no es lo... lo que más me... me fascine, yo qué sé. Algo para pasar el tiempo. No. Pues mis amigos. Que es una pérdida de tiempo. No. Porque juego para divertirme, no para cabrearme. Porque si estoy echando un rato para divertirme... no me pone triste."
85,"Porque he ganado la partida o... o me estoy divirtiendo más de lo normal. Cuando pierdo partidas sí, pero no siempre. Pues no. Me divierte, me divierte mucho. Sí. A veces me enfado más y otras veces me enfado menos. Porque paso un rato divertido haciendo...no sé, jugando y divirtiéndome un rato. Pues me sentí orgulloso y bastante... y bastante divertido. Pues me siento pues feliz pero no tanto. Pues... a veces me divierto más y otras veces me divierto menos. Pues que son divertidos y... pues, básicamente, una cosa parecida a mí. Pues me sentí muy feliz y divertido. Pues me aburría mucho y no sabía si comprarme un videojuego para poder divertirme cuando no hacía nada. Pues, pues dicen que, que no está mal jugar mucho tiempo, pero está mal enfadarse por los videojuegos. Y jugar mucho tiempo. Porque tampoco pasa nada si juegas un rato. Es un aparato tecnológico que te enseña imágenes que tú controlas y tienes que hacer un objetivo. No. Frustrado. Pues eso."
86,"Pues la verdad es que mis amigos y amigas no juegan mucho videojuegos, pero juegan pues lo normal, a lo mejor el FIFA y todas esas cosas, pero la verdad es que no juegan mucho porque salimos más a la calle para estar todos juntos y eso. Pues yo creo que ellos opinan que son divertidos, pero que también llega un punto en el que pueden ser malos. Ah, pues... que a lo mejor yo vaya muy bien en ese juego y de repente pierda, pues... o la persona con la que estoy jugando se ría de que he perdido. Pues... no sé, yo creo que la mayoría piensa que no son buenos porque al final todos los niños que juegan a videojuegos muchas veces, pues... les puede pasar muchas cosas, sobre todo le puede afectar en los estudios o a lo mejor cuando haya alguna comida familiar no quiera ir por estar jugando a los videojuegos. Entonces no creo que le parezca muy bien. Pues empezaría diciendo que no es muy bueno jugarlo tantas veces porque puede afectarte los estudios, a veces puede hacer que sea muy agresivo cuando te lo quieran quitar porque estás, te has vuelto adicto a él. Y que son buenos pero si los juegas con responsabilidad. Pues... son juegos virtuales que algunos no son buenos porque la mayoría son pues de matar a gente y todo eso. Pero que otros sí son buenos pero que los jueguen con cuidado. No. A veces, cuando jugamos un juego de pelea o algo así, si pierdo muchas veces por lo mejor me molesta un poco pero... Porque sé que es algo que no es la vida real, sé que es un juego y no hay nada más. No. Porque... es que no lo sé. Es que no me pone triste, tampoco me pone muy feliz jugar a videojuegos, pues ya está, lo juego y ya está. Pues me sentí contenta porque yo no sabía jugar a la Play entonces pues la primera vez que gané pues fue como... no sé me sentí contenta de haber ganado sin saber jugar. Pues... me sentí molesta porque se estaba mi primo chuleando pero luego reflexioné y dije que eso no tenía nada que ver porque a veces se perdía y otras veces se ganaba. Pues... no siento nada porque casi siempre las pierdo. Pues... no sé, yo la verdad es... me siento también contenta porque he ganado a una persona que ya lleva mucho tiempo jugando a un videojuego pero ya no significa tanto como cuando era pequeña. Pues... nada la verdad, no me... A lo mejor felicidad porque juego con mi primo y nos divertimos pero... No. Pues que la verdad es que yo no juego a videojuegos. Yo juego a veces con mi primo que tiene una Play pero juego muy poco. A lo mejor juego al fútbol que me pide con él pero yo no juego. Porque como no juego casi todos los días, juego de muy vez en cuando pues llega un momento en el que me aburro mucho entonces pues dejo de jugarlo entonces no... Pues la primera vez era chiquitita entonces sentí que era súper chulo jugar pero al final me acabo aburriendo y entonces pues ya lo siento como... como no sé divertir... hacerlo para que mi primo se divierta porque para mí no significa nada."
87,"Pues porque yo lo veo como algo que no... está ahí en la pantalla, pero... lo que en realidad te puede hacer feliz es algo que tú haces por ti en realidad. Ganar una partida de fútbol, ganar un ajedrez, ganar algo que sea más real, sea más... puede ser más usado para la vida en su totalidad. Feliz, feliz, no. Es como un pasatiempo. Alguna vez que otra, pues, dentro del juego, pues me he sentido feliz por haber hecho algo bien, por haber completado una cosa, pero el jugarlo en sí no es más que un pasatiempo. Pues... si es algo que no me ha costado trabajo, o que no sería muy repetitivo, pues otra cosa más. Pero si es algo que encima te ha costado trabajo, algo que es así, trabajo en un... pues... ¿se puede entender bien el juego? Pues... Pues... y de todas formas sí. Digo, vamos, vamos, qué bueno eres. Pues yo creo que piensan que no es... que se puede jugar, pero que no se puede estar todo el día. Es un pasatiempo, es estar un ratito y después dejarlo. Pero no es algo que estés todo el día, no es algo que sea tu vida, no es algo que tengas que estar muchísimo tiempo. Yo creo que lo que piensan es que podemos estar un rato, pero estar jugando todo el día o durante muchas horas no es bueno, no es... no es productivo. Pues... emocionado. Porque era algo nuevo, algo muy chulo y algo innovador. Entonces yo pues... me sentí emocionado. Estaba... no lloraba, pero no sé, estaba alegre. Era una emoción nueva, una cosa nueva. Y como estaba chulo y era algo que me entretenía, pues sí, estaba emocionado, feliz. Yo creo que piensan que es un pasatiempo, es algo... algo pues ya depende de cada quien, pero algo innovador, es algo que se debe jugar, algo que es para la juventud y que... eso, en general, eso. Pues... Principalmente por algunos amigos que conocía. El primero que jugué fue un videojuego que no sé si lo sabes, Minecraft, que lo empecé a jugar porque decían que estaba muy chulo, muy bien. Y yo empecé a jugar porque se hablaba en el colegio y todo eso. Y a mí como me gusta eso de la construcción y todo eso, pues yo digo bueno, te va a estar chulo y me gusta la verdad. Ya llevo tiempo sin jugarlo mucho, pero... Pues... frustración. Porque... no sé yo, pues... Estoy preparado... Sí, en realidad fue frustración porque... no pude hacer algo que... no pude conseguir algo que yo creía que se iba a conseguir. Pues... más o menos. Si es algo que... un juego, un videojuego que me gusta, o algo que... lo que he echado tiempo y esfuerzo, pues sí siento frustración, pero... si no es algo normal o algo que digo, ya, este, es imposible. Pues... nada, no... No siento nada. Pues... me sentí bien, me sentí... Pues... me dije a mí mismo, vamos, qué bueno eres y esas cosas, no sé. A ver, yo llevo bastante, bastante tiempo sin jugar, pero las últimas veces que he jugado a un videojuego, pues... A un videojuego, pues la verdad. Las últimas veces que he jugado a un videojuego, pues... Estaba... algunas veces aburrido, otras veces pues intrigado por lo que podía pasar. Pero... si el juego me gustaba, pues estaba intrigado. Bueno, eso sí, eso sí. Pierdo muy consecutivamente, digo una y otra y otra, y no, y no, y no... Ya al final si me enfado digo, chepa, lo dejo y me pongo a hacer otra cosa para despejar mi mente. Con cualquier cosa, si me enfado, me... me... me... me... me... me... me molesto o me frustro, pues lo dejo y hago otra cosa, me despejo y después ya sí, eso sigo... y si no vale la pena pues no sé, no lo sigo, no sé, depende... No. No me pone triste. No me pone ni triste ni contento. Algunas veces ya he dicho que si gano una partida o algo que... sí, pero triste no. Pues no me pone triste porque no le veo sentido a ponerse triste. No le veo la pena ahí. No le veo el decir... ¡ay, qué pena! No... No. Porque... no sé, no es... no es algo que yo le tema, no... No sé, como no lo veo tan real y no... yo creo que como no lo veo tan real y no es algo que a mí diga... No sé, no siento miedo ni nada de eso, tipo. Pues... ¿Te digo la definición? ¿Es así? Lo que yo diría. Un juego es una historia sobre un personaje basada en una historia. Puede ser una historia de fantasía que tú puedes jugarla y puedes hacer tú una historia o puede ser un juego, un videojuego, puede ser un pasatiempo también y puede ser una actividad para divertirte, puede ser muchas cosas."
88,"Me da un poco igual porque al final es ficticio todo y no consigues nada. Porque al final es todo ficticio y no... en la realidad no consigues nada. Indiferencia, al final sabes que va a pasar.  Frustración porque te... te matan y al final tienes que empezar desde el principio.  No. Pues... un poco de alegría porque es una cosa nueva que nunca había visto. Pues... alegría supongo porque es como el reto del juego. Un poco de frustración porque al final siempre te matan y tal y entonces pues no... Pues el tener una consola en casa y pues me llamaba la atención tanta dinámica y... No hay ninguna razón por la que me tenga que sentir triste. Porque es ficticio y no... no sé, no va a pasar nada en la realidad. No. No, porque... No. Pues la gran mayoría piensan que están muy bien, que son muy entretenidos y... y se pasan el rato jugando a ellos. Porque no hay ninguna razón para enfadarme. Piensan que si abusas de ellos es... pueden ser muy malos, pero si los moderas también. Pues un videojuego es un... es un juego de ordenador en el que vas teniendo una serie de misiones y tienes que completarlas. No."
89,"Pues me divierto. Pues no sé, porque mis amigos jugaban y yo también quería jugar. Pues me sigo poniendo feliz. Pues me pondría superfeliz. Pues a ver, no me acuerdo, pero supongo que pensaría ""¡Qué guapo, qué guapo! Quiero jugar más"". Pues supongo que frustración. No sé. No me da miedo. Pues le diría que es una cosa, algo a lo que tú juegas de manera virtual para entretenerte. No. Pues que me lo paso bien jugando y olvido los problemas a veces. Sí. Pues que es una manera de divertirse y de jugar con amigos. Pues ahora depende de contra quién pierdas. Si pierdo contra alguien que es igual o peor que yo, pues me enfado. Si es mejor, pues intento mejorar. Pues que los videojuegos son adictos y que es una pérdida de tiempo. Porque me divierten, entonces no me pongo triste. Perder o que me sacan mal las cosas. A veces. No."
90,"Pues, poder pasar un buen rato con mis amigos y familiares y echar el ratillo. Pues, algunos me imagino que pensarán que es una pérdida de tiempo, pero que también puede echar un buen rato. No me enfado, solo si pierdo, he perdido y si gano, pues he ganado, no, no pasa nada. Porque sé que si pierdo no pasa nada y lo podría hacer mejor y si gano, pues ya está. Pues, cuando empezamos con la pandemia y no teníamos que estar tanto tiempo trabajando, pues ahí empezamos ya a jugar. Pues, si estoy jugando yo solo, pues que lo tendría que haber hecho mejor y si estoy con mis amigos no pasa nada porque les veo a ellos jugar y como lo hacen. Si estoy con mis amigos y con mi familia, sí. Pues, imagino que sentía que lo podría haber hecho mejor o que tendría que haber hecho otra combinación o algo. Pues, imagino que me sentiría bien y alegre por haber conseguido algo. Pues, igual he conseguido un logro o he podido ganar algo. Pues, que estaba chulo porque podía jugar con mi familia y con mi primo y pues pasaba un buen rato. Porque sé que tienen una seguridad y que si no son con micrófono o con voz que no me puedan decir nada, nadie me puede decir nada ni hacer nada. No, porque como ya he dicho antes, puedo estar con mi familia o con mis amigos jugando y me lo paso bien. Que puedes pasártelo bien, pero que tampoco hay que usarlo en exceso. Pues diría que es un juego virtual que puedas jugarlo desde algún dispositivo o alguna consola. Pues no, porque los juegos que juego tienen una seguridad y sé que no pueden meter nada. Ahora siento pues que me lo paso bien, sobre todo cuando juego con mis amigos y pues que echamos un rato."
91,"No, ¿por qué? No sé por qué me tendría que dar miedo. A ver si juego a un juego de terror pues... pero no. Porque... a ver, si pierdo una partida pues no me pongo triste, más bien me frustra pero... sé que es una cosa que no es real así que... No. Pues... no sé si entienden lo que son, creo que sí, pero cuando me ven jugar a videojuegos pues como no... no creo... no juego mucho pues... tampoco les molesta. A ver, si tengo cosas que hacer pues sí les molesta,sino no. Porque sé que no es una cosa de la vida real, sé que no es una cosa de que... si ganas esta partida el mundo entero se salva, si la pierdes, se destruye el planeta. Asi que no pasa nada. No, ni... ni me alegra ni tampoco me enfada. Es como bueno pues... es lo que hay. Pues un videojuego es como un mundo virtual en el que hay diferentes como episodios de la vida de un personaje o varios personajes en los que tú tienes que superar una aventura o un problema para conseguir una meta. Yo es que no juego mucho videojuegos, pero pues bueno porque son llamativos y demás. Dije, toma, venga, soy el mejor. Eh... 50-50. Pues digo, pues... ¡Porras! Digo, toma, venga, luego pienso, tengo que hacer deberes. Pues sinceramente pensé bastantes palabrotas en mi mente. Pues cuando juego a un videojuego digo, está divertido pero tengo muchos deberes que hacer así que mejor me pongo a hacer los deberes. Eh... como ya he comentado, tampoco me gustan mucho los videojuegos pero... Los videojuegos son llamativos y como que... son divertidos. Pero... Pues cuando jugaba por primera vez, como wow, qué pasada, está muy chulo esto. Pero luego, pues bueno, está guay. Pues... mis amigos... tengo algunos amigos que les gustan mucho los videojuegos, pero luego tengo otros que les gusta también el fútbol, como a mí, para jugar con ellos y demás. Así que tengo un poco de todo."
92,"Ahora pues me siento bien, pero como que no me importa tanto como al principio, porque ya tengo algo de base. Echar el buen rato y hombre, si ganas pues mejor. Si juego con gente, si no, pues me aburre. No, al contrario. Ahora cuando llevo unas pocas pues me frustro algo pero tampoco es una barbaridad. Bueno, pues me sentí bien porque como que había mejorado y había conseguido llegar a ganar. Bueno, pues como fueron las primeras partidas, pues no... tampoco era para... para frustrarse tanto, pero tampoco... no sé, es como una sensación rara porque no estaba acostumbrado a jugar ni nada. Depende si juego con mis amigos, si no... yo es que suelo jugar cuando juego con mis amigos, si no me aburre jugar. Cuando llevo unas pocas perdidas sí me suelo frustrar algo pero lo normal. Porque si gano que a veces suelo pues me alegro y eso y echo el rato y no me pone triste. No. Porque a los videojuegos que suelo jugar no pienso que tengan tanto peligro. Pues yo diría que es un juego a través de un ordenador, una consola, que puedes jugar con... con el juego en sí o online con tus amigos o gente. Pues más o menos lo que yo he dicho. Que a veces sí pueden ser malos pero si llegas a un punto excesivo. Pues yo pensé que estaba guay en aquellos entonces y hoy en día no es que... no es que suela jugar, pero a veces me divierte. Porque mis primos grandes de esos a lo mejor jugaban a la Wii, pues a lo mejor yo cuando iba a sus casas jugaba con ellos y pues ya por comprar una consola, ¿sabes? Estar acabando la partida y perder. Pues mis padres que no se les echen tantas horas, aunque no suelo jugar, pero muy poco."
93,"Pues, un videojuego es como otro juego más, lo que pasa es que se utilizan otras herramientas. Es como otro juego cualquiera, como el fútbol o el baloncesto. Más que enfadarme, si acaso me frustraría a veces. Pues porque no te puedes enfadar por todo. Puedes frustrarte, pero ¿con qué te vas a enfadar jugando a videojuegos? Porque yo juego juegos que sé que me van a hacer feliz. No. Pues lo mismo. No se puede ganar siempre y ya está. Pues no sé cómo explicártelo, pero el sentimiento fue que si o si iba a pasar. No se puede ganar siempre. Jugar con mis amigos. Aunque no estemos juntos, pues seguimos hablando y jugando entre nosotros. Pues como un logro más. Sí. No me acuerdo mucho, pero sé que felicidad. Y porque me gustó tanto y por eso lo sigo jugando. Pues es que ahora lo que me gusta de jugar videojuegos es jugar con mis amigos, porque así me lo paso bien con ellos. Pues felicidad y emoción. Pues porque de pequeño, ya mi hermana mayor ya tenía videojuegos, por ejemplo, como la Wii y la Nintendo. Entonces a mí me gustaba jugar con mi hermana a la Wii, por ejemplo. Y mis primos también jugaban. Pues que también les hace feliz. Pues que es una distracción más, por ejemplo. Pues que es una manera de pasar el rato. Que es una manera que podría aprovecharse mejor, en el tiempo que estoy jugando a videojuegos podría aprovechar más para poder hacer otras cosas. Pues porque ya llevo mucho tiempo con ellos y ya pues estoy acostumbrado a ellos. No."
94,"Lo que me hacen sentir. Sí. Porque soy muy tranquilo. Nada. No sé... Pues si pierdo lo acepto y empiezo otra. Porque les gustan también. Porque son divertidos. Pues yo qué sé, pregúntaselo a ella. Yo creo que es una tontería, dice. Que nada más es para gastarse los dineros. Mmm... Poquillas veces. Pues... es... Yo qué sé, hay de muchos tipos. Porque está... Algunos que... Porque eres un personaje y tienes que hacer otra cosa. Y otros que a lo mejor, pues yo qué sé, son más en 2D como el parche y son además de... Pues como el parchis normal, solo que... Moviendo la ficha y todo eso. No. No. Pues yo qué sé, si algún personaje se muere y ese personaje me cae a bien, pues eso. Porque me gustan. No sé... Pues... Que era... Algo que no... Pues son historias que a lo mejor en la vida real no pueden pasar. Y que... Pues te emociona mucho porque hay historias muy buenas. Pues... Empecé otra. Pues depende de cómo sea. Si... Si tiene una buena historia pues... Te emociona porque dices... Joder... Pues estaba contento. Pues... Lo de ganar partidas ya... Eso es más de juegos en online y todo eso. Yo ahora soy más de jugar de campaña y todo eso. Pues... No me acuerdo la verdad porque llevo mucho tiempo ya. 5 o 6 años."
95,"No, la verdad que no, porque a ver, en el videojuego puedes ganar o puedes perder y tampoco pasa nada, no es nada de la vida real y no es malo. Porque simplemente es un juego, no es nada importante y no significa nada para ti. Pues no sé, porque estoy jugando, pienso más en el videojuego y no pienso tanto en otras cosas y me enfoco más en el videojuego. Pues yo creo que pensarán más o menos lo mismo que yo, que están muy guay, es divertido de jugar y muy entretenido también. Pues... no, me incitarían a jugar juegos con ellos y ya está. Pues yo creo que ellos piensan que está bien, mientras no juegues demasiado tiempo ni me pase todo el día y toda la noche ahí enganchada, mientras juego un rato, bien. Pues por ejemplo que te sientes bien, te diviertes, te puede ayudar, te puede ayudar a evitar las cosas, por ejemplo si te sientes aburrido, si estás triste puedes jugar y qué alivio. La primera vez pues no pasa nada porque como la estás intentando pues no pasa nada porque pierdas. Pues si has jugado mucho al videojuego pues te puedes sentir un poco mal, te sientes un poco en plan de que has perdido la técnica, la manera de jugar. Pues sí, está guay para divertirse pero tampoco es una cosa que necesitas hacer todos los días. Pues se siente muy bien porque te sientes como emocionado de ser el mejor en esa partida y pues te sientes muy emocionado, sobre todo también cuando juegas con tus amigos y les gana, te sientes como ese pique. Pues se siente exactamente lo mismo que la primera vez, mucha emoción, mucha adrenalina, muy bien. Pues se siente básicamente lo mismo porque jugar un videojuego mientras no sea demasiado tiempo está muy guay y es divertido. Pues la primera vez se siente muy guay, se siente gracioso, sobre todo si juegas con los amigos pues te diviertes, pasas el tiempo bien y eso, te lo pasas guay. Pues yo normalmente no juego videojuegos todos los días, pero la mayoría de veces que he empezado a jugarlos ha sido porque un amigo o amiga me los ha recomendado, me ha dicho que está guay tal juego, que podría empezar a jugarlo y pues he jugado con ello. Porque tampoco veo nada de malo, o sea mientras sea un videojuego seguro, que tú estás jugando con gente que conoces, no pasa nada. No, yo diría que no, me pone más bien alegre, lo contrario. No mucho. Pues yo por ejemplo le diría que es una cosa que usan los niños hoy en día pues para entretenerse, para jugar, aunque es por internet que normalmente pues es la Playstation por ejemplo, tienen un montón de juegos, puedes jugar un montón de cosas y eso."
96,"¿Por qué? Porque... no sé, es algo... normal, que todo el mundo juega y no... que no te... no sé expresarme. Y no pues, que no te va a pasar nada si pierdes o si ganas, que vas a estar seguro y eso. Pues el pasármelo bien, disfrutar con mis amigos y entretenerme cuando estás aburrido o algo. Que es una cosa divertida, para entretenerse, que... bueno, algunas personas pues, algunas pues piensan que no te va a pasar nada, pero otras, sin embargo, piensan que hay hasta cierto punto que puedes jugar. Que por ejemplo no te puedes tirar toda la tarde jugando, un rato sí, pero toda la tarde no. Que otra gente pues se tira toda la tarde y piensa que pues no pasa nada por eso y que... que ya por ejemplo si tienes que estudiar pues ya estudiarías y que el juego pues es más importante, por ejemplo. Pues un videojuego es una cosa que está en internet, que tú puedes jugar con otra gente sin tú verla y hacer diferentes juegos y te diviertes haciendo eso. No porque no es algo peligroso por así decirlo y... Algunas veces pues me siento frustrada pues por no conseguirlo, porque... lo intentas y por mucho que lo intentas pues no te sale bien y pues sí te frustras, yo me frustro un poco la verdad. Que no me salga bien o que... por mucho que lo intente, siempre me... por ejemplo, siempre muero, por así decirlo, en los juegos de eso, que siempre es lo mismo y tal, pues te enfadas por eso. Porque... porque te... si estás aburrido pues te... ya sabes... te quitas el aburrimiento y pasas pues un buen rato. No porque disfrutas y te quitas tu aburrimiento y tal. Pues me siento contenta pero como no es la primera vez pues no siento tanto entusiasmo como la primera. Me sigo frustrando pero ya menos porque sé que es pues algo normal y que pasa normalmente y que no siempre se gana ni se pierde. Te entretiene y tal pero no de feliz, de felicidad, por ejemplo cuando estás con tus amigos que entretiene y tal, pero no es la misma felicidad. Pues me sentí frustrada pues por intentarlo y no salir, que no me saliera, pero bueno, suele pasar. Sentí mucha alegría y mucha felicidad pues por haberlo conseguido y por esforzarme. Ahora pues me siento más tranquila porque ya sé como funciona y como... y pues como va pero lo sigo disfrutando y me lo sigo pasando bien. Porque a veces es un poco aburrido porque es todo el rato lo mismo, las mismas... las mismas cosas y pues llega un momento que te cansas. Pues mucha ilusión porque era mi primera vez y no sabía como se jugaba y nervios porque no sabía como me iba a salir, si me iba a salir bien o mal o tal y pues eso. Que es una cosa buena pero hasta un cierto punto y que si tú sobrepasas ese punto o ese límite pues puede llegar a ser malo para nuestra salud y para mí."
97,"Pues depende, algunos dicen que cuanto más mejor y otros dicen que no, que un uso pues igual normal, tampoco tiene que ser excesivo. No soy mucho de jugar videojuegos, pero normalmente pues suelen ser anuncios o que mi hermano me dice que probemos algún juego que le gusta o algo así. Pues que un uso pequeño no pasa nada, pero un uso excesivo ya es malo. Porque no sé, no... no siento ira. No. Igual, depende del videojuego, depende de con quién esté jugando, pero normalmente no me suele afectar. Pues no sé, que me divierto, paso el rato jugando con mi hermano, con mis amigos. Hombre, pues alegría y entusiasmo. Sí. Me decepcioné, lo que pasa es que no soy muy competitiva, o sea que tampoco es que me afectara mucho. Pues si es, por ejemplo, de competitividad, pues energía, como alegría si ganaba o bueno, me ponía triste si perdía. Igual. Pues que depende del videojuego, pero suelo estar feliz, normal. Porque no sé, no me... no me provoca sentimiento ni nada. No. Porque no sé, no creo que me pueda pasar nada grave jugando a los videojuegos. Pues le diría que es como una forma... un... como un juego online en el que tú puedes emplear tu tiempo para pues dedicarte a ese juego y practicar y jugar con tus amigos. No."
98,"A veces cuando pierdo o estoy intentando hacer una cosa mucho tiempo y me sale mal. Porque cuando juego, lo hago para sentirme bien y para sentirme contenta, para reunirme con mis amigos y tal. Perder y... perder. No. Rabia y desilusión. Porque te puedes conectar con tus amigos y que te diviertes. Pues rabia, desilusión... no sé, tristeza. Sí. Emoción, alegría, no sé, excitación, no sé. Lo mismo. Excitación, diversión, emoción, alegría. Pues el aburrimiento. En plan no sé, yo... con todo lo de la tecnología empecé en la cuarentena porque como era... básicamente era inevitable, pues... Lo mismo, supongo, no sé, es que nunca me lo he preguntado, diversión, supongo, alegría, no sé, depende de... del videojuego. No sé, me divertí. Pues no sé, supongo que... alegría, no sé, diversión. No. Que son divertidos y que les gustan. Porque están hechos para los niños y para divertirte. Que te hacen adicto y que son malos en exceso. Pues un videojuego es un juego pero con tecnología que sirve para divertirte."
99,"No suelo jugar. Ya, como te he dicho, no suelo jugar. Pero vamos, alguna vez que he jugado, no sé, con algún amigo que haya estado o lo que sea, pues... Es por echar el rato, entonces pues tampoco... No sé, no sé. Es por echar el rato, entonces pues tampoco... No, ni si ni no, en plan... No es que no me haga feliz, es que no... Como no juego, no es una cosa que... que haga yo en mi tiempo libre ni nada, entonces pues... Pues depende, hay gente que... Tengo amigos que están muy enganchados y están todo el día con la play o con no sé qué. Y luego hay gente que pasa, entonces pues... hay de todo yo que sé. Alguna vez que haya jugado, pues... A ver, depende de qué sea el videojuego. Pero como mucho ahí... Como el pique de ganar ahí de... Como que te dan ganas de seguir, pero... A mí nunca me ha enganchado en nada, la verdad. Pues no sé, depende. A mi padre el primero que si a lo mejor un rato o algo pues... A lo mejor le gusta, pero... No sé, con moderación, tampoco, no sé. Me da igual. Por lo mismo, si gano, pues... Ya está. Tan feliz, pero vamos que me da igual un poco. Ganar o perder. Nada, da igual. Es que me da igual. Pues, pues... Si ganas, pues... Tan feliz. Porque no le doy importancia. No sé. Tampoco. No. No. Sé que tendrá algún peligro o algo, pero... A lo mejor algunas cosas, pero no... Pues porque, no sé... Pienso que tengo cabeza como para saber lo que estoy haciendo, no sé. Pues... Eh... Pero puedo... Vale. Es un juego en el que se utiliza la tecnología. Con una tele o con unos mandos y donde pues puedes... Hay diferentes juegos, diferentes, no sé. Puedes hacer muchas cosas que es muy grande y... ¿No? Como el... Pero sí, bueno.  Porque me da igual ganar o perder o lo que sea el juego. No he jugado a videojuegos, la verdad."
100,"Pues lo mismo, alegría porque sé que me he esforzado y que también puedo intentarlo otra vez. Pues mucho enfado la verdad porque pensé que me iba a salir bien la partida pero al final no me salió y lo volví a intentar.  Pues creo que el conectarme con más gente y reaccionarme o estar con otros amigos porque hay mucha risa.  Algunas veces cuando hay aburrimiento. Pues ya cuando la pierdo me frustro y lo dejo y lo vuelvo a intentar. Pues algunas veces que está bien porque nos podemos relacionar con más gente, pero algunas veces está mal, porque como que nos aislamos a nosotros mismos del otro entorno y no queremos relacionarnos. Porque se puede decir que como es mi momento que estoy divirtiéndome y mucha risa con mis amigos y no veo motivo para estar triste. Solo si alguna vez despierto o no estoy muy concentrada y mis amigos están dando por saco por medio. Pues creo que algunas veces pues el aburrimiento de no tener algo a mano, porque para comunicarme como a gente estaba con mi amigo más conectado. Pues me llamó mucho la atención y quise jugar más veces porque me gustó mucho. Pues me sentí muy emocionada. Y la verdad es que me gustó mucho y quise seguir practicando a ver si podía mejorar. Pues algunas veces aburrimiento porque no encuentro muchas veces que me llame mucha atención así que solo dejo de jugar. Pues que están bien y que abren muchas puertas. Y que puedes conocer a más gente que en ese momento pues no importa que tus padres supuestamente te digan que estás muy encerrada en ti porque si a ti te gustan pues no va a importar el bien de los demás. No la verdad porque me lo paso bien. Porque es según tú lo que quieras darle a entender con esos videojuegos, si tú por ejemplo te conectas con alguien, por ejemplo de otro país, no me da miedo porque yo sé protegerme a mí, no le voy a pasar la información ni nada y lo que quiero en ese momento es divertirme, no tener una charla o algo con esa persona. La verdad es que no. Pues creo que le explicaría mediante que un videojuego es una... como una plataforma, por así decirlo, en la cual tú puedes divertirte, ya sea individual, tú solo o colectivo, ya puede ser con gente de ese mismo entorno o con tus amigos, a los que te quieras conectar tú con ellos."
